exam_code,course_code,course_name,date,time_slot,rooms,student_count,invigilators
CS301-END,CS301,Data Structures,2025-12-01,09:00-12:00,R101,5,PROF001
CS302-END,CS302,Algorithms,2025-12-01,14:00-17:00,R101,5,PROF002
MA201-END,MA201,Discrete Mathematics,2025-12-02,09:00-12:00,R101,3,PROF003
CS303-END,CS303,Database Systems,2025-12-02,14:00-17:00,R101,3,PROF006
EC201-END,EC201,Digital Electronics,2025-12-03,09:00-12:00,R101,3,PROF004
PH101-END,PH101,Physics,2025-12-03,14:00-17:00,R101,3,PROF005
CS201-END,CS201,Programming,2025-12-04,09:00-12:00,R101,3,PROF001
MA101-END,MA101,Calculus,2025-12-04,14:00-17:00,R101,3,PROF007
CS304-END,CS304,Operating Systems,2025-12-05,09:00-12:00,R101,3,PROF002
CS305-END,CS305,Computer Networks,2025-12-05,14:00-17:00,R101,3,PROF006
